sample_id,sensor_name,fx,fy,cx,cy,z_scaling,z_offset_mm
0,camera_to_base,611.27685546875,611.33380126953125,641.5657958984375,362.51873779296875,1,0
0,tag_to_base,0,0,0,0,1,0
1,camera_to_base,611.27685546875,611.33380126953125,641.5657958984375,362.51873779296875,1,0
1,tag_to_base,0,0,0,0,1,0
2,camera_to_base,611.27685546875,611.33380126953125,641.5657958984375,362.51873779296875,1,0
2,tag_to_base,0,0,0,0,1,0
3,camera_to_base,611.27685546875,611.33380126953125,641.5657958984375,362.51873779296875,1,0
3,tag_to_base,0,0,0,0,1,0
4,camera_to_base,611.27685546875,611.33380126953125,641.5657958984375,362.51873779296875,1,0
4,tag_to_base,0,0,0,0,1,0
5,camera_to_base,611.27685546875,611.33380126953125,641.5657958984375,362.51873779296875,1,0
5,tag_to_base,0,0,0,0,1,0
6,camera_to_base,611.27685546875,611.33380126953125,641.5657958984375,362.51873779296875,1,0
6,tag_to_base,0,0,0,0,1,0
7,camera_to_base,611.27685546875,611.33380126953125,641.5657958984375,362.51873779296875,1,0
7,tag_to_base,0,0,0,0,1,0
8,camera_to_base,611.27685546875,611.33380126953125,641.5657958984375,362.51873779296875,1,0
8,tag_to_base,0,0,0,0,1,0
