sample_id,sensor_name,fx,fy,cx,cy,z_scaling,z_offset_mm
0,left_wrist_camera_to_base,434.3310546875,433.88650512695312,426.49417114257812,247.28919982910156,1,0
0,tag_to_base,0,0,0,0,1,0
1,left_wrist_camera_to_base,434.3310546875,433.88650512695312,426.49417114257812,247.28919982910156,1,0
1,tag_to_base,0,0,0,0,1,0
2,left_wrist_camera_to_base,434.3310546875,433.88650512695312,426.49417114257812,247.28919982910156,1,0
2,tag_to_base,0,0,0,0,1,0
3,left_wrist_camera_to_base,434.3310546875,433.88650512695312,426.49417114257812,247.28919982910156,1,0
3,tag_to_base,0,0,0,0,1,0
4,left_wrist_camera_to_base,434.3310546875,433.88650512695312,426.49417114257812,247.28919982910156,1,0
4,tag_to_base,0,0,0,0,1,0
5,left_wrist_camera_to_base,434.3310546875,433.88650512695312,426.49417114257812,247.28919982910156,1,0
5,tag_to_base,0,0,0,0,1,0
6,left_wrist_camera_to_base,434.3310546875,433.88650512695312,426.49417114257812,247.28919982910156,1,0
6,tag_to_base,0,0,0,0,1,0
7,left_wrist_camera_to_base,434.3310546875,433.88650512695312,426.49417114257812,247.28919982910156,1,0
7,tag_to_base,0,0,0,0,1,0
8,left_wrist_camera_to_base,434.3310546875,433.88650512695312,426.49417114257812,247.28919982910156,1,0
8,tag_to_base,0,0,0,0,1,0
