body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
-0.000000,-0.000000,0.766067,0.999315,-0.001275,0.003655,-0.036804,0.051403,-0.076389,0.076348,0.040055,0.260248,-0.198578,-0.131377,0.120523,-0.079985,-0.111496,0.306645,-0.185949,0.191290,0.002109,0.254215,-0.168011,-0.123234,-0.049521,-0.259088,0.129876,-0.031785,-0.002103,-0.009803,-0.000710,-0.004363,0.007230,0.009192,-0.009435,0.007614,0.000047,-0.000077,0.002828,0.000206,-0.004972,-0.006143,0.002076,0.003472,0.014332,0.005050,0.005357,-0.006226,0.007261
-0.000038,-0.000005,0.766077,0.999315,-0.001275,0.003654,-0.036805,0.051361,-0.076585,0.076334,0.039968,0.260393,-0.198394,-0.131566,0.120676,-0.079984,-0.111498,0.306702,-0.185945,0.191191,0.001987,0.254257,-0.167941,-0.122947,-0.049420,-0.258981,0.129751,-0.031640,-0.003606,-0.010713,0.000707,-0.004071,0.005991,0.003877,-0.000470,0.007732,0.000684,0.000424,0.001750,0.001819,-0.008614,-0.009779,0.002903,0.004898,0.024726,0.008704,0.007946,-0.010281,0.009348
-0.000110,-0.000001,0.766087,0.999315,-0.001276,0.003659,-0.036803,0.051259,-0.076817,0.076377,0.039892,0.260488,-0.198423,-0.131396,0.120833,-0.079957,-0.111479,0.306715,-0.185876,0.190946,0.001718,0.254331,-0.167815,-0.122244,-0.049173,-0.258770,0.129465,-0.031411,-0.002389,-0.006903,0.000682,-0.002588,0.002081,-0.003836,0.018880,0.006383,0.001204,0.010883,-0.002222,0.001739,-0.000339,-0.005799,0.003589,-0.001414,0.024560,0.009498,0.006524,-0.009774,0.006269
-0.000168,-0.000002,0.766093,0.999313,-0.001266,0.003644,-0.036847,0.051266,-0.076861,0.076362,0.039864,0.260476,-0.198548,-0.130811,0.120931,-0.079936,-0.111062,0.306613,-0.185876,0.191177,0.001755,0.254400,-0.167998,-0.121964,-0.049040,-0.258720,0.129360,-0.031389,-0.003244,-0.006185,-0.000168,-0.002222,0.001720,0.000937,0.017548,0.009242,0.000886,0.016130,-0.002711,0.005548,0.004993,0.001948,0.009467,-0.016933,0.012417,0.017546,0.002478,-0.007144,0.008434
-0.000232,-0.000002,0.766105,0.999314,-0.001274,0.003651,-0.036844,0.051129,-0.077065,0.076370,0.039803,0.260557,-0.198385,-0.130694,0.121202,-0.079922,-0.110834,0.306607,-0.185654,0.191146,0.001796,0.254710,-0.168492,-0.121748,-0.048471,-0.258671,0.129179,-0.031074,-0.006186,-0.009219,0.000264,-0.000996,0.006625,0.001375,-0.000867,0.011920,-0.000541,0.011681,0.002899,0.004173,-0.006632,0.001360,0.010537,-0.015548,0.006249,0.022841,0.001370,-0.005965,0.016142
-0.000278,-0.000001,0.766101,0.999315,-0.001266,0.003638,-0.036811,0.051018,-0.077230,0.076372,0.039824,0.260741,-0.198493,-0.130846,0.121408,-0.079957,-0.110595,0.306729,-0.185709,0.190912,0.001809,0.254822,-0.168620,-0.121715,-0.048126,-0.258665,0.129122,-0.030743,-0.002612,-0.006585,0.000705,-0.004382,0.007901,-0.003792,-0.004983,0.006346,0.000104,0.009291,0.008134,0.001291,-0.003292,0.001078,0.003992,-0.003238,0.003769,0.018356,0.001770,-0.009473,0.014593
-0.000372,-0.000009,0.766090,0.999316,-0.001274,0.003556,-0.036780,0.051025,-0.077328,0.076398,0.039628,0.260873,-0.198537,-0.130894,0.121456,-0.079918,-0.110462,0.306932,-0.185603,0.191014,0.001839,0.254870,-0.168621,-0.121597,-0.047737,-0.258600,0.128800,-0.030490,-0.002587,-0.005628,0.001748,-0.009191,0.006083,0.002930,-0.008335,0.001236,0.001920,0.001023,0.006954,0.004536,0.003279,0.000171,0.000970,0.010124,0.006678,0.027505,0.001857,-0.021776,0.013442
-0.000449,-0.000024,0.766093,0.999319,-0.001283,0.003503,-0.036721,0.050915,-0.077455,0.076442,0.039457,0.260984,-0.198375,-0.131179,0.121457,-0.079881,-0.110554,0.307007,-0.185527,0.191043,0.001816,0.254861,-0.168215,-0.121447,-0.047026,-0.258591,0.128251,-0.030206,-0.004520,-0.005434,-0.000273,-0.005959,0.006563,0.005518,-0.012575,0.001000,-0.000983,-0.007186,0.005569,0.003134,-0.007585,-0.000302,-0.002909,0.017968,0.006332,0.038760,-0.002791,-0.026417,0.000648
-0.000492,-0.000019,0.766106,0.999322,-0.001266,0.003463,-0.036632,0.050844,-0.077545,0.076387,0.039389,0.261135,-0.198316,-0.131397,0.121496,-0.079957,-0.110750,0.307155,-0.185477,0.190710,0.001827,0.254753,-0.167903,-0.121344,-0.046186,-0.258712,0.127743,-0.030464,0.002125,-0.005976,-0.001365,-0.003964,0.004898,0.004054,-0.006679,0.001388,-0.001483,-0.002794,0.002987,0.000942,-0.009099,0.002939,-0.005153,0.007156,0.009627,0.035837,-0.006092,-0.020006,-0.011835
-0.000543,-0.000007,0.766104,0.999323,-0.001265,0.003455,-0.036617,0.051000,-0.077694,0.076387,0.039298,0.261180,-0.198213,-0.131446,0.121513,-0.079940,-0.110666,0.307126,-0.185490,0.190679,0.001933,0.254654,-0.167928,-0.121062,-0.045593,-0.258834,0.127451,-0.030679,0.005550,-0.005803,-0.000064,-0.009089,-0.000386,0.006731,0.007429,0.001621,0.000943,0.003496,-0.001079,-0.000274,0.000803,0.005103,-0.003487,-0.003086,0.010803,0.018811,-0.003741,-0.009967,-0.006407
