body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
0.000000,0.000000,0.785306,-0.725444,0.011607,0.015821,0.688002,-0.057981,-0.054589,0.046852,-0.129480,0.390813,-0.225001,-0.037416,0.080326,-0.053921,-0.019909,0.388421,-0.259164,0.016813,-0.185640,-0.055888,-0.946127,-0.069066,0.151063,-0.135372,0.586776,-0.454500,-0.000860,-0.007148,-0.000895,-0.005528,0.000229,0.007866,0.002083,0.007254,-0.000201,0.007136,0.000249,0.006886,-0.000727,0.008287,-0.009030,0.052330,0.016452,0.018920,-0.033347,0.046214,-0.072706
0.000012,0.000101,0.785308,-0.725445,0.011615,0.015831,0.688000,-0.057999,-0.054732,0.046834,-0.129590,0.390818,-0.224843,-0.037374,0.080471,-0.053925,-0.019767,0.388426,-0.259026,0.016799,-0.185474,-0.056069,-0.945080,-0.068737,0.151441,-0.136039,0.587700,-0.455954,-0.000810,-0.006065,-0.000921,-0.004274,0.000128,0.005514,0.002310,0.006311,-0.000514,0.006664,0.000142,0.005203,0.000220,0.001628,0.004437,0.015795,-0.002129,0.007008,-0.008135,0.016105,-0.019586
0.000025,0.000186,0.785304,-0.725446,0.011621,0.015839,0.687999,-0.058014,-0.054832,0.046815,-0.129651,0.390818,-0.224780,-0.037324,0.080578,-0.053941,-0.019643,0.388427,-0.258956,0.016822,-0.185575,-0.055711,-0.945495,-0.069152,0.151343,-0.135698,0.587420,-0.455284,0.004103,-0.003062,-0.000381,0.000209,-0.000055,0.001788,0.002346,0.004156,-0.000404,0.005609,-0.000326,0.002182,0.001548,-0.010999,0.029286,-0.053355,-0.036425,-0.015729,0.039272,-0.041096,0.080543
0.000037,0.000249,0.785313,-0.725506,0.011644,0.015873,0.687934,-0.057835,-0.054855,0.046818,-0.129582,0.390816,-0.224772,-0.037280,0.080637,-0.053941,-0.019542,0.388413,-0.258939,0.016861,-0.185914,-0.054898,-0.947214,-0.070194,0.150812,-0.134468,0.586057,-0.452733,0.009008,0.001251,-0.004036,0.003764,-0.000374,-0.000127,0.004932,-0.000263,-0.004271,0.002252,-0.000825,0.001258,0.003921,-0.021992,0.049431,-0.113255,-0.064253,-0.035835,0.079669,-0.091103,0.166391
0.000096,0.000276,0.785310,-0.725715,0.011627,0.015863,0.687714,-0.057654,-0.054782,0.046653,-0.129500,0.390803,-0.224785,-0.037126,0.080568,-0.054112,-0.019553,0.388394,-0.258906,0.016979,-0.186455,-0.053734,-0.950025,-0.071722,0.149910,-0.132511,0.583776,-0.448628,-0.012835,-0.003646,-0.006492,-0.003593,-0.000224,0.000177,0.005372,0.003237,-0.006411,0.002624,0.000528,0.002035,0.004897,-0.030971,0.064178,-0.161840,-0.084654,-0.052618,0.111660,-0.132188,0.235000
0.000105,0.000294,0.785270,-0.725947,0.011681,0.015869,0.687468,-0.058348,-0.055000,0.046559,-0.129726,0.390807,-0.224765,-0.037066,0.080766,-0.054197,-0.019437,0.388434,-0.258858,0.017057,-0.187153,-0.052330,-0.953688,-0.073581,0.148707,-0.130002,0.580769,-0.443333,-0.052127,-0.016014,0.005052,-0.017615,0.001156,0.004318,-0.004839,0.013606,0.005424,0.005554,0.003567,0.003019,-0.002567,-0.037692,0.069540,-0.200345,-0.092535,-0.066374,0.135208,-0.166698,0.285883
-0.000011,0.000432,0.785227,-0.726290,0.011753,0.015869,0.687105,-0.059739,-0.055422,0.046855,-0.130205,0.390850,-0.224613,-0.037320,0.081112,-0.053895,-0.019330,0.388536,-0.258785,0.016876,-0.187962,-0.050952,-0.958039,-0.075423,0.147255,-0.127103,0.577108,-0.437193,-0.076548,-0.023987,0.020589,-0.026387,0.002732,0.010272,-0.017344,0.020207,0.021530,0.008622,0.006071,0.008495,-0.014226,-0.041253,0.069453,-0.227879,-0.092443,-0.074316,0.153049,-0.194101,0.322413
-0.000200,0.000643,0.785190,-0.726519,0.011799,0.015868,0.686862,-0.061410,-0.055960,0.047382,-0.130781,0.390916,-0.224354,-0.037759,0.081575,-0.053336,-0.019092,0.388677,-0.258518,0.016488,-0.188803,-0.049552,-0.962803,-0.077278,0.145735,-0.123880,0.573005,-0.430436,-0.081647,-0.027021,0.028844,-0.027831,0.003469,0.014405,-0.023570,0.023433,0.030708,0.012706,0.007083,0.014452,-0.021488,-0.044148,0.070465,-0.241297,-0.092309,-0.079392,0.161064,-0.210230,0.340826
-0.000422,0.000884,0.785167,-0.726862,0.011864,0.015865,0.686498,-0.063004,-0.056503,0.048009,-0.131318,0.390988,-0.224036,-0.038263,0.082049,-0.052667,-0.018822,0.388820,-0.258207,0.016017,-0.189728,-0.048133,-0.967691,-0.079115,0.144079,-0.120660,0.568699,-0.423560,-0.068526,-0.024019,0.030790,-0.023753,0.003364,0.013485,-0.023733,0.021016,0.032535,0.012002,0.006232,0.013056,-0.021497,-0.047554,0.069651,-0.239843,-0.089908,-0.085028,0.154445,-0.212942,0.334396
-0.000625,0.001104,0.785166,-0.727091,0.011904,0.015864,0.686255,-0.064151,-0.056921,0.048614,-0.131731,0.391051,-0.223814,-0.038709,0.082415,-0.052035,-0.018612,0.388926,-0.257996,0.015628,-0.190706,-0.046766,-0.972397,-0.080875,0.142334,-0.117702,0.564487,-0.417060,-0.038168,-0.013131,0.026506,-0.013015,0.002491,0.006939,-0.018443,0.011294,0.027504,0.006884,0.003833,0.007363,-0.016035,-0.048502,0.064789,-0.224027,-0.083757,-0.088215,0.135948,-0.198795,0.305392
-0.000777,0.001248,0.785195,-0.727321,0.011942,0.015869,0.686010,-0.064531,-0.057028,0.049069,-0.131839,0.391088,-0.223759,-0.039000,0.082501,-0.051567,-0.018547,0.388973,-0.257912,0.015375,-0.191668,-0.045542,-0.976652,-0.082466,0.140551,-0.115222,0.560747,-0.411344,-0.000777,-0.000474,0.013210,-0.001488,0.000919,0.001039,-0.008198,-0.000925,0.013495,-0.000357,0.000685,0.002509,-0.007280,-0.045757,0.054700,-0.193475,-0.072385,-0.088359,0.105425,-0.160234,0.253926
-0.000819,0.001324,0.785223,-0.727579,0.011971,0.015849,0.685737,-0.064182,-0.056940,0.049142,-0.131791,0.391087,-0.223773,-0.039037,0.082378,-0.051495,-0.018627,0.388954,-0.257895,0.015336,-0.192536,-0.044578,-0.980136,-0.083770,0.138799,-0.113485,0.558078,-0.406903,0.011667,-0.005788,-0.001433,-0.005970,-0.000484,0.000574,-0.000473,0.003698,-0.001353,0.001021,-0.000957,-0.001103,0.001048,-0.039239,0.039644,-0.148317,-0.054809,-0.082940,0.065647,-0.103216,0.182123
-0.000831,0.001374,0.785210,-0.727567,0.012005,0.015857,0.685748,-0.064064,-0.057260,0.049012,-0.132078,0.391069,-0.223736,-0.039019,0.082649,-0.051621,-0.018506,0.388935,-0.257957,0.015417,-0.193238,-0.043956,-0.982585,-0.084658,0.137233,-0.112596,0.556619,-0.404059,0.007538,-0.022689,-0.003249,-0.020308,-0.000741,0.005846,-0.002815,0.019998,-0.002603,0.010979,-0.000677,0.001186,0.001384,-0.028877,0.019677,-0.087519,-0.029662,-0.069309,0.018813,-0.037512,0.090895
