body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
-0.000000,0.000000,0.737937,-0.695909,0.021713,0.031489,0.717110,0.003050,-0.454988,-0.025218,-0.305626,0.980744,-0.503601,-0.060869,0.477444,-0.013131,0.279097,1.020409,-0.588755,-0.053290,0.033168,0.066173,-0.953446,-0.434549,0.243745,-0.251752,0.816191,-0.963873,0.029927,-0.344838,-0.093540,-0.284766,0.133440,0.060672,0.008086,0.303814,0.071312,0.176987,0.101900,0.047609,-0.013086,-0.533485,-0.153047,-1.056737,0.656953,-0.914852,0.407113,1.410502,2.285460
0.000060,0.000672,0.737884,-0.695887,0.021392,0.031128,0.717158,0.003648,-0.461885,-0.027088,-0.311322,0.983413,-0.502387,-0.060707,0.483521,-0.011705,0.282637,1.022447,-0.587802,-0.053551,0.022498,0.063112,-0.974581,-0.421410,0.225448,-0.243609,0.844401,-0.918164,0.016714,-0.360116,-0.090637,-0.276406,0.116292,0.074299,0.004955,0.336472,0.087661,0.213772,0.095415,0.066875,-0.016020,-0.476753,-0.132657,-0.927001,0.565249,-0.877673,0.406370,1.296328,2.238667
0.000099,0.001404,0.737834,-0.695863,0.021096,0.030818,0.717203,0.003718,-0.469392,-0.028843,-0.316682,0.985396,-0.500629,-0.060670,0.490903,-0.009624,0.287648,1.024226,-0.586080,-0.053930,0.014098,0.060867,-0.990526,-0.411940,0.208638,-0.235497,0.868044,-0.874326,-0.005444,-0.373596,-0.082964,-0.252641,0.083536,0.094712,-0.000193,0.380767,0.112044,0.269224,0.081846,0.096875,-0.020298,-0.367702,-0.093950,-0.679967,0.391373,-0.802160,0.402062,1.075529,2.135409
0.000123,0.002130,0.737783,-0.695804,0.020735,0.030455,0.717286,0.003430,-0.476828,-0.030407,-0.321427,0.986754,-0.498599,-0.060715,0.498751,-0.007223,0.293406,1.025721,-0.583927,-0.054363,0.007790,0.059354,-1.001780,-0.405755,0.193361,-0.227527,0.887422,-0.832747,-0.018331,-0.349185,-0.071193,-0.213318,0.054626,0.099628,-0.002647,0.378494,0.117995,0.284640,0.067371,0.107761,-0.021371,-0.269635,-0.060171,-0.462806,0.240109,-0.725670,0.392083,0.874147,2.014314
0.000140,0.002772,0.737762,-0.695754,0.020549,0.030276,0.717347,0.002985,-0.483360,-0.031691,-0.325215,0.987581,-0.496644,-0.060776,0.506043,-0.004905,0.299033,1.026921,-0.581769,-0.054785,0.003312,0.058460,-1.009038,-0.402335,0.179611,-0.219814,0.903010,-0.793754,-0.020489,-0.279383,-0.054055,-0.154135,0.030689,0.085881,-0.002166,0.320326,0.102088,0.252426,0.052109,0.095254,-0.018558,-0.185933,-0.032487,-0.283018,0.116673,-0.650840,0.376776,0.699131,1.879555
0.000158,0.003234,0.737832,-0.695628,0.019945,0.029661,0.717512,0.002611,-0.488004,-0.032569,-0.327593,0.987982,-0.495164,-0.060801,0.511564,-0.003139,0.303503,1.027806,-0.580117,-0.055106,0.000353,0.058055,-1.013100,-0.401089,0.167328,-0.212456,0.915388,-0.757565,-0.010854,-0.184588,-0.036047,-0.090914,0.010896,0.061570,-0.000381,0.226960,0.070573,0.185063,0.036010,0.067738,-0.010930,-0.114154,-0.010140,-0.135598,0.017715,-0.575061,0.355388,0.545231,1.725793
0.000174,0.003517,0.737920,-0.695512,0.019585,0.029309,0.717649,0.002551,-0.490743,-0.033133,-0.328852,0.988017,-0.494181,-0.060792,0.515121,-0.002082,0.306436,1.028361,-0.579060,-0.055223,-0.001254,0.058054,-1.014462,-0.401627,0.156609,-0.205598,0.924819,-0.724722,0.005338,-0.098861,-0.022914,-0.042717,-0.004898,0.039462,0.001722,0.136024,0.037745,0.113736,0.019938,0.040358,-0.001701,-0.055144,0.006655,-0.022042,-0.055837,-0.499626,0.328460,0.414388,1.556169
0.000194,0.003658,0.738021,-0.695383,0.019266,0.029005,0.717795,0.002824,-0.491958,-0.033486,-0.329301,0.987786,-0.493585,-0.060732,0.517005,-0.001629,0.308052,1.028603,-0.578503,-0.055174,-0.001853,0.058321,-1.013982,-0.403322,0.147343,-0.199317,0.931963,-0.695318,0.020806,-0.037991,-0.014110,-0.013294,-0.013764,0.023894,0.004216,0.065322,0.012945,0.055545,0.006855,0.019388,0.001720,-0.025607,0.011900,0.052416,-0.077813,-0.443427,0.301854,0.317666,1.407324
0.000214,0.003704,0.738116,-0.695193,0.018891,0.028666,0.718003,0.003383,-0.492263,-0.033697,-0.329384,0.987466,-0.493225,-0.060623,0.517734,-0.001564,0.308658,1.028635,-0.578284,-0.055154,-0.002278,0.058530,-1.012366,-0.404739,0.138872,-0.193524,0.937526,-0.668429,0.028644,-0.020114,-0.010099,-0.010779,-0.016318,0.020689,0.004431,0.034645,0.005379,0.026469,-0.003135,0.012985,0.001069,0.011071,0.017166,0.071615,-0.099643,-0.350377,0.252131,0.245574,1.148199
0.000223,0.003757,0.738181,-0.695076,0.018738,0.028549,0.718125,0.003970,-0.492763,-0.033890,-0.329732,0.987133,-0.492758,-0.060555,0.518391,-0.001414,0.309111,1.028478,-0.577983,-0.055131,-0.001410,0.059008,-1.011117,-0.407308,0.133328,-0.189232,0.941786,-0.649391,0.021146,-0.025068,-0.007457,-0.013129,-0.018853,0.023753,0.002519,0.033793,0.009928,0.027225,-0.011712,0.020345,0.001071,0.047395,0.020174,0.048980,-0.105641,-0.233095,0.184407,0.188147,0.820591
