body_pos_x	body_pos_y	body_pos_z	body_quat_w	body_quat_x	body_quat_y	body_quat_z	joint_pos00	joint_pos01	joint_pos02	joint_pos03	joint_pos04	joint_pos05	joint_pos06	joint_pos07	joint_pos08	joint_pos09	joint_pos10	joint_pos11	joint_pos12	joint_pos13	joint_pos14	joint_pos15	joint_pos16	joint_pos17	joint_pos18	joint_pos19	joint_pos20	joint_vel_00	joint_vel_01	joint_vel_02	joint_vel_03	joint_vel_04	joint_vel_05	joint_vel_06	joint_vel_07	joint_vel_08	joint_vel_09	joint_vel_10	joint_vel_11	joint_vel_12	joint_vel_13	joint_vel_14	joint_vel_15	joint_vel_16	joint_vel_17	joint_vel_18	joint_vel_19	joint_vel_20
0.132227	-0.045717	0.761169	0.727163	0.017924	0.020890	-0.685912	-0.267651	0.013871	0.067224	-0.197762	0.147493	-0.166415	0.006039	-0.038311	-0.081635	-0.243308	0.251030	-0.236329	0.032568	0.173977	-0.001071	-0.483699	-0.071909	0.031317	-0.035650	0.239325	-0.075220	5.850729	-0.466160	-0.697220	5.860700	3.352159	-2.761620	0.666490	10.398050	-0.558120	13.639210	8.556411	-2.976411	0.271280	2.577601	-1.090100	-8.723222	-9.499889	2.273380	-3.892970	4.364171	-8.311750
0.130415	-0.045897	0.760923	0.689030	0.020624	0.020135	-0.724160	-0.150636	0.004548	0.053280	-0.080548	0.214536	-0.221647	0.019369	0.169650	-0.092797	0.029476	0.422158	-0.295857	0.037994	0.225529	-0.022873	-0.658163	-0.261907	0.076785	-0.113509	0.326608	-0.241455	3.238825	0.208130	-0.641240	3.543745	1.575845	-1.602105	0.263325	5.846781	-0.470940	7.737495	4.967910	-2.095360	-0.270705	1.503755	-1.136970	-4.156535	-5.828715	1.823365	-2.753820	2.418080	-5.085159
0.128774	-0.044891	0.760337	0.682162	0.022755	0.015928	-0.730674	-0.138098	0.022196	0.041574	-0.056012	0.210527	-0.230499	0.016572	0.195560	-0.100473	0.066192	0.449746	-0.320143	0.021740	0.234127	-0.046550	-0.649960	-0.305058	0.104252	-0.145803	0.336048	-0.278626	0.672370	0.481860	-0.001795	1.135220	-0.217855	-0.049450	0.043035	0.924340	0.198095	1.391335	0.958084	-0.779220	-0.426745	0.194785	-0.373640	0.103500	-1.654205	1.181515	-0.741490	-0.043365	-1.406370
0.129927	-0.045592	0.760560	0.679205	0.020823	0.019826	-0.733386	-0.123742	0.023822	0.053208	-0.035139	0.205822	-0.223625	0.021090	0.206624	-0.084874	0.085130	0.460482	-0.327026	0.020924	0.233320	-0.037819	-0.654023	-0.328075	0.124045	-0.143169	0.324874	-0.297710	0.543975	0.205110	0.255300	0.656975	-0.226170	0.337950	0.120075	0.461160	0.417745	0.842770	0.362810	-0.153410	-0.038225	-0.054450	0.318550	-0.082320	-0.919954	0.816100	0.074240	-0.446235	-0.740950
0.129858	-0.045397	0.760721	0.676198	0.020403	0.019434	-0.736181	-0.116339	0.030401	0.051786	-0.029733	0.201480	-0.216981	0.021375	0.214007	-0.083763	0.099903	0.464259	-0.326280	0.020211	0.231949	-0.033808	-0.653253	-0.341856	0.136896	-0.142833	0.318199	-0.308264	0.281490	0.327145	-0.064370	0.321205	-0.220200	0.180885	-0.005005	0.422610	0.039290	0.695335	0.261486	0.073450	0.064430	-0.189660	0.262765	0.094186	-0.711500	0.554320	0.108350	-0.598345	-0.468880
0.129531	-0.045370	0.760760	0.674448	0.020771	0.019131	-0.737782	-0.112482	0.036908	0.050633	-0.022291	0.197014	-0.216390	0.020890	0.223528	-0.083302	0.112943	0.470941	-0.324088	0.023501	0.225734	-0.027308	-0.650256	-0.356535	0.146218	-0.138835	0.300940	-0.316465	0.100285	0.390315	-0.120390	0.326775	-0.133800	-0.381105	-0.119845	0.520590	-0.044380	0.786365	0.336140	0.129055	0.240670	-0.297185	0.282155	0.125210	-0.776010	0.456995	0.079100	-0.880255	-0.365786
0.128474	-0.045463	0.760836	0.673089	0.021662	0.017815	-0.739029	-0.112328	0.046013	0.046971	-0.016662	0.196128	-0.232225	0.016581	0.234830	-0.085538	0.131357	0.477704	-0.321118	0.029838	0.220062	-0.022522	-0.648245	-0.372896	0.155175	-0.139669	0.282989	-0.322896	0.171740	0.295490	-0.101840	0.317860	0.010635	-0.523900	-0.164325	0.350010	0.023155	0.613580	0.337545	-0.244800	-0.026060	-0.290870	0.289125	0.022748	-0.865425	0.409790	0.040275	-1.051401	-0.295240
0.128420	-0.045598	0.760492	0.670175	0.021670	0.017960	-0.741670	-0.105612	0.048728	0.046559	-0.009577	0.197439	-0.237346	0.014317	0.237528	-0.082376	0.137486	0.484443	-0.333880	0.022459	0.214099	-0.015743	-0.649346	-0.391152	0.162610	-0.137224	0.258884	-0.328275	0.192060	0.146910	-0.048100	0.280120	0.023145	-0.201915	-0.074980	0.128925	0.060730	0.327140	0.203900	-0.354035	-0.267845	-0.242310	0.245550	-0.056525	-0.783245	0.326410	0.081651	-1.010731	-0.195709
0.127669	-0.045518	0.760544	0.669290	0.022113	0.017039	-0.742477	-0.104645	0.051890	0.045047	-0.005457	0.197054	-0.240302	0.013582	0.239987	-0.083109	0.144443	0.485860	-0.335279	0.019124	0.210369	-0.012700	-0.650506	-0.404226	0.168232	-0.136403	0.242559	-0.330724	0.043170	0.131370	0.046115	0.199730	0.023995	-0.017955	0.007000	0.096180	0.066190	0.175985	0.148210	0.116115	0.005465	-0.180000	0.177470	-0.021790	-0.483500	0.216215	0.139680	-0.743290	-0.073890
0.128932	-0.045523	0.760675	0.669413	0.019771	0.018394	-0.742400	-0.103886	0.053982	0.048404	-0.001587	0.198399	-0.238064	0.014597	0.241376	-0.079728	0.144526	0.490371	-0.329235	0.022677	0.206899	-0.008644	-0.650218	-0.410492	0.171258	-0.131637	0.229152	-0.331230	0.074980	0.198360	0.116555	0.260085	0.066255	-0.185300	0.014825	0.088195	0.147845	0.091980	0.214989	0.189350	0.238330	-0.258010	0.246315	0.046945	-0.496350	0.340555	0.324155	-1.022860	-0.006021
0.129552	-0.045475	0.760600	0.668599	0.018730	0.018297	-0.743162	-0.101646	0.059824	0.049709	0.004946	0.199704	-0.247714	0.014175	0.243515	-0.077195	0.148122	0.494460	-0.327705	0.028657	0.200049	-0.002847	-0.648628	-0.424080	0.181854	-0.123437	0.201645	-0.330965	-0.058085	0.127795	0.227525	0.277305	0.017230	-0.190365	0.034815	0.161300	0.258130	0.308765	0.137840	0.336140	0.381500	-0.230335	0.198805	0.014362	-0.558120	0.446825	0.290745	-1.060630	0.008615
0.130147	-0.045594	0.760925	0.669606	0.016920	0.020052	-0.742253	-0.106209	0.059094	0.057505	0.009505	0.199088	-0.245679	0.015990	0.247828	-0.069403	0.156876	0.495885	-0.315790	0.037937	0.197686	-0.000692	-0.649643	-0.432817	0.189131	-0.120007	0.186727	-0.330886	0.114645	0.058460	0.091340	0.472555	-0.084245	0.245965	0.145955	-0.052225	0.145640	0.034210	0.019891	-0.120430	-0.048775	-0.155665	0.124945	-0.150146	-0.584915	0.372930	0.169285	-1.026105	0.005580
0.129046	-0.045614	0.760469	0.665635	0.018562	0.018739	-0.745812	-0.097060	0.062162	0.053363	0.023848	0.196334	-0.237875	0.020013	0.241426	-0.071369	0.149490	0.495256	-0.332522	0.026706	0.193822	0.002151	-0.654634	-0.447477	0.196771	-0.116666	0.160601	-0.330742	0.214900	0.257280	-0.105745	0.755170	-0.048740	-0.065830	0.122375	-0.328010	-0.067155	-0.286515	-0.035700	-0.522784	-0.452100	-0.130895	0.162480	-0.307915	-0.651060	0.406765	0.122820	-0.843840	-0.011795
0.128657	-0.045378	0.760364	0.665531	0.018087	0.017511	-0.745945	-0.097613	0.069385	0.053275	0.039712	0.197139	-0.248312	0.020885	0.234707	-0.072089	0.145416	0.494457	-0.336701	0.019853	0.192450	0.005807	-0.661960	-0.458859	0.205402	-0.115094	0.152974	-0.331357	0.021835	0.222935	-0.028980	0.398485	-0.011165	-0.046835	0.029965	-0.218470	-0.022480	-0.040505	-0.021120	-0.117230	-0.159390	-0.059885	0.161015	-0.297719	-0.394834	0.285565	0.080685	-0.292620	-0.024614
0.128438	-0.045189	0.760476	0.664819	0.017781	0.016659	-0.746607	-0.096187	0.071080	0.052203	0.039788	0.195888	-0.239749	0.021212	0.232687	-0.072269	0.147870	0.494411	-0.337211	0.020330	0.191427	0.008591	-0.666543	-0.463270	0.208194	-0.113438	0.148896	-0.331726	0.126850	0.186090	-0.041055	0.248534	-0.041945	0.075126	0.023835	-0.173854	-0.009720	-0.020190	-0.025395	-0.186070	-0.124180	-0.051450	0.122620	-0.375181	-0.301320	0.162105	0.072805	-0.334239	-0.027090
0.128493	-0.045306	0.760224	0.664293	0.017797	0.016461	-0.747079	-0.092539	0.076829	0.051633	0.049653	0.195461	-0.245307	0.021838	0.227753	-0.072478	0.144608	0.493441	-0.344144	0.014886	0.190392	0.010712	-0.676967	-0.470912	0.211886	-0.112182	0.139604	-0.332441	0.061095	0.246985	0.031220	0.258905	-0.018365	-0.240135	-0.009945	-0.075120	0.021285	-0.026570	-0.021081	0.042130	-0.055890	-0.011220	0.060410	-0.427280	-0.284991	0.165930	0.023460	-0.325300	-0.028455
0.129131	-0.045548	0.760347	0.664175	0.016471	0.016936	-0.747204	-0.093743	0.080959	0.053452	0.050144	0.195153	-0.249354	0.020814	0.229682	-0.071417	0.146807	0.493568	-0.335526	0.018095	0.190978	0.011008	-0.683634	-0.474670	0.214831	-0.112500	0.135884	-0.332865	-0.033665	0.182395	0.019415	0.008506	-0.002075	-0.141416	-0.053765	0.041715	0.020970	0.085449	0.040270	0.288270	0.144150	0.025130	-0.003530	-0.322135	-0.178184	0.135590	-0.025005	-0.214811	-0.023431
0.129158	-0.045491	0.760419	0.663563	0.015901	0.016374	-0.747772	-0.093886	0.084125	0.052410	0.049993	0.195378	-0.250964	0.019687	0.229422	-0.071639	0.148026	0.495052	-0.332613	0.020652	0.191397	0.010571	-0.689852	-0.478039	0.217310	-0.113182	0.131012	-0.333378	0.109215	0.192500	-0.091990	-0.020160	0.000515	-0.076865	-0.068535	-0.139990	-0.042580	-0.034930	0.023956	-0.140735	-0.085140	0.012810	-0.031935	-0.368065	-0.186735	0.141110	-0.048625	-0.156060	-0.043955
0.128975	-0.045498	0.760121	0.661396	0.015929	0.015633	-0.749705	-0.089374	0.088659	0.049773	0.049337	0.195174	-0.252429	0.018073	0.224083	-0.073120	0.145410	0.494526	-0.341156	0.014689	0.191491	0.009730	-0.698356	-0.482139	0.220475	-0.114445	0.129642	-0.334623	0.077690	0.201310	-0.092985	0.021410	0.027785	-0.138631	-0.064875	-0.175695	-0.068690	-0.114315	0.016715	-0.208690	-0.201570	0.000615	-0.021655	-0.365409	-0.162171	0.097625	-0.023125	-0.082325	-0.063384
0.129085	-0.045356	0.760291	0.661783	0.015296	0.014761	-0.749394	-0.090778	0.092177	0.048690	0.050850	0.196489	-0.256509	0.017092	0.222394	-0.074387	0.143453	0.495720	-0.340961	0.012589	0.191422	0.009705	-0.704469	-0.484526	0.221215	-0.114107	0.127719	-0.335914	-0.040765	0.134520	-0.019440	0.197165	0.099510	-0.248980	-0.030440	-0.174820	-0.040565	-0.186580	0.037605	-0.109211	-0.154480	0.012485	-0.039885	-0.375065	-0.130200	0.038390	-0.002230	-0.121915	-0.089405
