body_pos_x,body_pos_y,body_pos_z,body_quat_w,body_quat_x,body_quat_y,body_quat_z,joint_pos_00,joint_pos_01,joint_pos_02,joint_pos_03,joint_pos_04,joint_pos_05,joint_pos_06,joint_pos_07,joint_pos_08,joint_pos_09,joint_pos_10,joint_pos_11,joint_pos_12,joint_pos_13,joint_pos_14,joint_pos_15,joint_pos_16,joint_pos_17,joint_pos_18,joint_pos_19,joint_pos_20,joint_vel_00,joint_vel_01,joint_vel_02,joint_vel_03,joint_vel_04,joint_vel_05,joint_vel_06,joint_vel_07,joint_vel_08,joint_vel_09,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20
-0.000000,0.000000,0.755260,0.670833,0.043499,0.031334,-0.739668,-0.011181,-0.675474,-0.104845,-0.507575,0.778088,-0.363169,0.029538,0.745257,0.112359,0.485167,0.763543,-0.280557,0.077121,-0.081991,0.026248,-0.763411,-0.646541,-0.090352,-0.037203,0.784173,-0.682621,0.002640,-0.002980,-0.005248,-0.007984,-0.000849,-0.015429,-0.015947,0.022554,0.004655,0.009775,0.025466,-0.015572,-0.005612,0.000687,0.010276,-0.002477,-0.000781,-0.000365,-0.009519,0.002372,0.000283
0.000004,-0.000014,0.755180,0.670807,0.043447,0.031313,-0.739696,-0.011128,-0.675533,-0.104950,-0.507735,0.778071,-0.363478,0.029220,0.745708,0.112452,0.485363,0.764053,-0.280868,0.077008,-0.081977,0.026454,-0.763460,-0.646557,-0.090359,-0.037393,0.784221,-0.682615,-0.000689,-0.006747,-0.006410,-0.004923,0.007075,-0.013957,-0.011590,0.018302,0.003601,0.012258,0.015728,-0.006864,0.000547,0.000672,0.013772,-0.003088,-0.000912,-0.000517,-0.011907,0.003143,0.000456
0.000110,0.000097,0.755133,0.670778,0.043390,0.031289,-0.739726,-0.011208,-0.675744,-0.105101,-0.507772,0.778371,-0.363728,0.029075,0.745989,0.112503,0.485657,0.764173,-0.280831,0.077142,-0.081964,0.026799,-0.763534,-0.646577,-0.090373,-0.037679,0.784299,-0.682603,-0.006637,-0.012657,-0.008008,0.001054,0.020003,-0.010739,-0.003399,0.009215,0.001252,0.015710,-0.003569,0.009248,0.011648,0.000639,0.020225,-0.004204,-0.001149,-0.000795,-0.016290,0.004563,0.000772
0.000291,0.000301,0.755116,0.670727,0.043292,0.031249,-0.739780,-0.011393,-0.676040,-0.105270,-0.507693,0.778871,-0.363907,0.029084,0.746077,0.112502,0.485991,0.763910,-0.280498,0.077474,-0.081952,0.027263,-0.763628,-0.646603,-0.090391,-0.038045,0.784403,-0.682584,-0.011050,-0.015634,-0.008241,0.006224,0.027430,-0.006932,0.004341,-0.001608,-0.001819,0.015558,-0.023219,0.022573,0.020169,0.000601,0.025464,-0.005089,-0.001326,-0.001011,-0.019795,0.005710,0.001031
0.000514,0.000559,0.755124,0.670695,0.043231,0.031222,-0.739814,-0.011650,-0.676369,-0.105431,-0.507523,0.779468,-0.364005,0.029249,0.745925,0.112430,0.486280,0.763244,-0.279928,0.077949,-0.081940,0.027818,-0.763738,-0.646631,-0.090413,-0.038471,0.784527,-0.682561,-0.013661,-0.013888,-0.006573,0.011864,0.026648,-0.003342,0.009894,-0.013393,-0.005390,0.011861,-0.041546,0.032211,0.026397,0.000558,0.029309,-0.005713,-0.001435,-0.001161,-0.022299,0.006545,0.001229
0.000741,0.000825,0.755139,0.670644,0.043132,0.031178,-0.739867,-0.011940,-0.676595,-0.105533,-0.507218,0.779937,-0.364041,0.029479,0.745541,0.112286,0.486465,0.762248,-0.279210,0.078530,-0.081929,0.028435,-0.763857,-0.646660,-0.090437,-0.038937,0.784665,-0.682535,-0.014269,-0.006431,-0.002243,0.017446,0.016056,0.002073,0.011317,-0.024594,-0.008672,0.005542,-0.056352,0.038049,0.028101,0.000509,0.031842,-0.006087,-0.001480,-0.001246,-0.023855,0.007083,0.001369
0.000930,0.001065,0.755166,0.670555,0.042965,0.031101,-0.739961,-0.012221,-0.676626,-0.105521,-0.506826,0.780110,-0.363922,0.029701,0.744941,0.112083,0.486501,0.760990,-0.278406,0.079073,-0.081920,0.029092,-0.763981,-0.646690,-0.090463,-0.039425,0.784811,-0.682507,-0.013328,0.000353,0.001427,0.019725,0.004868,0.007556,0.011023,-0.030655,-0.010463,0.000106,-0.062770,0.039500,0.023973,0.000455,0.033062,-0.006215,-0.001462,-0.001268,-0.024465,0.007325,0.001450
0.001086,0.001279,0.755195,0.670494,0.042852,0.031047,-0.740025,-0.012473,-0.676581,-0.105476,-0.506429,0.780132,-0.363739,0.029920,0.744315,0.111868,0.486470,0.759737,-0.277630,0.079489,-0.081911,0.029758,-0.764105,-0.646718,-0.090488,-0.039915,0.784958,-0.682477,-0.011813,0.002682,0.002027,0.018685,-0.000054,0.009537,0.009308,-0.029171,-0.010271,-0.001583,-0.059302,0.036783,0.018456,0.000411,0.032957,-0.006078,-0.001363,-0.001196,-0.024140,0.007266,0.001469
0.001221,0.001474,0.755218,0.670408,0.042701,0.030970,-0.740115,-0.012694,-0.676519,-0.105440,-0.506078,0.780108,-0.363540,0.030074,0.743774,0.111672,0.486438,0.758618,-0.276935,0.079811,-0.081903,0.030410,-0.764224,-0.646744,-0.090511,-0.040390,0.785101,-0.682448,-0.010155,0.004534,0.002423,0.016981,-0.004418,0.011414,0.005960,-0.025111,-0.009157,-0.001527,-0.053170,0.032348,0.014705,0.000335,0.030819,-0.005540,-0.001156,-0.001026,-0.022267,0.006744,0.001407
0.001327,0.001646,0.755232,0.670354,0.042608,0.030920,-0.740172,-0.012879,-0.676400,-0.105379,-0.505750,0.779955,-0.363282,0.030159,0.743311,0.111502,0.486409,0.757611,-0.276336,0.080077,-0.081898,0.030990,-0.764327,-0.646765,-0.090529,-0.040806,0.785228,-0.682421,-0.009033,0.008999,0.004227,0.017995,-0.012966,0.013947,0.002861,-0.022280,-0.008007,-0.001427,-0.049005,0.029709,0.011981,0.000219,0.026526,-0.004610,-0.000866,-0.000802,-0.018785,0.005753,0.001250
